date,health,maximum capacity (mAh),design capacity (mAh),cycles,model
18/08/2020 22.10,101.9261,5186,5088,1,"MacBookPro16,2"
19/08/2020 00.33,102.142296,5197,5088,1,"MacBookPro16,2"
19/08/2020 11.51,102.083336,5194,5088,2,"MacBookPro16,2"
20/08/2020 00.58,101.9654,5188,5088,2,"MacBookPro16,2"
21/08/2020 00.57,103.36084,5259,5088,2,"MacBookPro16,2"
21/08/2020 15.11,102.73192,5227,5088,3,"MacBookPro16,2"
22/08/2020 01.25,103.8915,5286,5088,3,"MacBookPro16,2"
23/08/2020 00.32,102.81054,5231,5088,3,"MacBookPro16,2"
24/08/2020 07.45,102.8695,5234,5088,3,"MacBookPro16,2"
25/08/2020 00.01,102.12264,5196,5088,3,"MacBookPro16,2"
25/08/2020 19.26,102.6533,5223,5088,4,"MacBookPro16,2"
26/08/2020 00.26,102.73192,5227,5088,4,"MacBookPro16,2"
27/08/2020 00.51,101.59198,5169,5088,4,"MacBookPro16,2"
28/08/2020 00.42,101.86714,5183,5088,4,"MacBookPro16,2"
29/08/2020 00.45,101.06132,5142,5088,4,"MacBookPro16,2"
30/08/2020 07.15,101.041664,5141,5088,5,"MacBookPro16,2"
31/08/2020 00.02,100.4717,5112,5088,5,"MacBookPro16,2"
01/09/2020 00.37,100.37342,5107,5088,5,"MacBookPro16,2"
02/09/2020 00.25,99.98035,5087,5088,5,"MacBookPro16,2"
02/09/2020 17.31,100.13758,5095,5088,6,"MacBookPro16,2"
03/09/2020 00.32,100.157234,5096,5088,6,"MacBookPro16,2"
04/09/2020 01.50,99.62657,5069,5088,6,"MacBookPro16,2"
05/09/2020 01.01,99.56761,5066,5088,6,"MacBookPro16,2"
06/09/2020 08.15,99.48899,5062,5088,6,"MacBookPro16,2"
07/09/2020 07.00,99.43003,5059,5088,6,"MacBookPro16,2"
08/09/2020 09.11,99.33176,5054,5088,6,"MacBookPro16,2"
08/09/2020 10.11,99.70519,5073,5088,7,"MacBookPro16,2"
09/09/2020 01.02,99.62657,5069,5088,7,"MacBookPro16,2"
10/09/2020 01.13,100.56996,5117,5088,7,"MacBookPro16,2"
10/09/2020 23.35,99.23349,5049,5088,8,"MacBookPro16,2"
11/09/2020 01.36,99.13522,5044,5088,8,"MacBookPro16,2"
12/09/2020 21.50,98.48664,5011,5088,8,"MacBookPro16,2"
13/09/2020 01.57,100.03931,5090,5088,8,"MacBookPro16,2"
14/09/2020 08.15,98.72248,5023,5088,8,"MacBookPro16,2"
15/09/2020 01.00,99.72484,5074,5088,8,"MacBookPro16,2"
15/09/2020 10.50,98.38836,5006,5088,9,"MacBookPro16,2"
16/09/2020 09.27,98.23113,4998,5088,9,"MacBookPro16,2"
